,ID,A,B
0,1,1,1.0
1,2,4,0.5
2,3,9,0.33333333333333304
3,4,16,0.25
4,5,25,0.2
5,6,36,0.166666666666667
6,7,49,0.14285714285714302
7,8,64,0.125
8,9,81,0.111111111111111
9,10,100,0.1
10,11,121,0.0909090909090909
11,12,144,0.0833333333333333
12,13,169,0.0769230769230769
13,14,196,0.0714285714285714
14,15,225,0.0666666666666667
15,16,256,0.0625
16,17,289,0.0588235294117647
17,18,324,0.0555555555555556
18,19,361,0.0526315789473684
19,20,400,0.05
20,21,441,0.0476190476190476
21,22,484,0.0454545454545455
22,23,529,0.0434782608695652
23,24,576,0.0416666666666667
24,25,625,0.04
25,26,676,0.0384615384615385
26,27,729,0.037037037037037
27,28,784,0.0357142857142857
28,29,841,0.0344827586206897
29,30,900,0.0333333333333333
30,31,961,0.032258064516129
31,32,1024,0.03125
32,33,1089,0.0303030303030303
33,34,1156,0.0294117647058824
34,35,1225,0.0285714285714286
35,36,1296,0.0277777777777778
36,37,1369,0.027027027027027
37,38,1444,0.0263157894736842
38,39,1521,0.0256410256410256
39,40,1600,0.025
40,41,1681,0.024390243902439
41,42,1764,0.0238095238095238
42,43,1849,0.0232558139534884
43,44,1936,0.0227272727272727
44,45,2025,0.0222222222222222
45,46,2116,0.0217391304347826
46,47,2209,0.0212765957446809
47,48,2304,0.0208333333333333
48,49,2401,0.0204081632653061
49,50,2500,0.02
50,51,2601,0.0196078431372549
51,52,2704,0.0192307692307692
52,53,2809,0.0188679245283019
53,54,2916,0.0185185185185185
54,55,3025,0.0181818181818182
55,56,3136,0.0178571428571429
56,57,3249,0.0175438596491228
57,58,3364,0.0172413793103448
58,59,3481,0.0169491525423729
59,60,3600,0.0166666666666667
60,61,3721,0.0163934426229508
61,62,3844,0.0161290322580645
62,63,3969,0.0158730158730159
63,64,4096,0.015625
64,65,4225,0.0153846153846154
65,66,4356,0.0151515151515152
66,67,4489,0.0149253731343284
67,68,4624,0.0147058823529412
68,69,4761,0.0144927536231884
69,70,4900,0.0142857142857143
70,71,5041,0.0140845070422535
71,72,5184,0.0138888888888889
72,73,5329,0.0136986301369863
73,74,5476,0.0135135135135135
74,75,5625,0.0133333333333333
75,76,5776,0.0131578947368421
76,77,5929,0.012987012987013
77,78,6084,0.0128205128205128
78,79,6241,0.0126582278481013
79,80,6400,0.0125
80,81,6561,0.0123456790123457
81,82,6724,0.0121951219512195
82,83,6889,0.0120481927710843
83,84,7056,0.0119047619047619
84,85,7225,0.0117647058823529
85,86,7396,0.0116279069767442
86,87,7569,0.0114942528735632
87,88,7744,0.0113636363636364
88,89,7921,0.0112359550561798
89,90,8100,0.0111111111111111
90,91,8281,0.010989010989011
91,92,8464,0.0108695652173913
92,93,8649,0.010752688172043001
93,94,8836,0.0106382978723404
94,95,9025,0.0105263157894737
95,96,9216,0.0104166666666667
96,97,9409,0.0103092783505155
97,98,9604,0.0102040816326531
