ID,A,B
1,1,1
2,4,0.5
3,9,0.333333333333333
4,16,0.25
5,25,0.2
6,36,0.166666666666667
7,49,0.142857142857143
8,64,0.125
9,81,0.111111111111111
10,100,0.1
11,121,0.0909090909090909
12,144,0.0833333333333333
13,169,0.0769230769230769
14,196,0.0714285714285714
15,225,0.0666666666666667
16,256,0.0625
17,289,0.0588235294117647
18,324,0.0555555555555556
19,361,0.0526315789473684
20,400,0.05
21,441,0.0476190476190476
22,484,0.0454545454545455
23,529,0.0434782608695652
24,576,0.0416666666666667
25,625,0.04
26,676,0.0384615384615385
27,729,0.037037037037037
28,784,0.0357142857142857
29,841,0.0344827586206897
30,900,0.0333333333333333
31,961,0.032258064516129
32,1024,0.03125
33,1089,0.0303030303030303
34,1156,0.0294117647058824
35,1225,0.0285714285714286
36,1296,0.0277777777777778
37,1369,0.027027027027027
38,1444,0.0263157894736842
39,1521,0.0256410256410256
40,1600,0.025
41,1681,0.024390243902439
42,1764,0.0238095238095238
43,1849,0.0232558139534884
44,1936,0.0227272727272727
45,2025,0.0222222222222222
46,2116,0.0217391304347826
47,2209,0.0212765957446809
48,2304,0.0208333333333333
49,2401,0.0204081632653061
50,2500,0.02
51,2601,0.0196078431372549
52,2704,0.0192307692307692
53,2809,0.0188679245283019
54,2916,0.0185185185185185
55,3025,0.0181818181818182
56,3136,0.0178571428571429
57,3249,0.0175438596491228
58,3364,0.0172413793103448
59,3481,0.0169491525423729
60,3600,0.0166666666666667
61,3721,0.0163934426229508
62,3844,0.0161290322580645
63,3969,0.0158730158730159
64,4096,0.015625
65,4225,0.0153846153846154
66,4356,0.0151515151515152
67,4489,0.0149253731343284
68,4624,0.0147058823529412
69,4761,0.0144927536231884
70,4900,0.0142857142857143
71,5041,0.0140845070422535
72,5184,0.0138888888888889
73,5329,0.0136986301369863
74,5476,0.0135135135135135
75,5625,0.0133333333333333
76,5776,0.0131578947368421
77,5929,0.012987012987013
78,6084,0.0128205128205128
79,6241,0.0126582278481013
80,6400,0.0125
81,6561,0.0123456790123457
82,6724,0.0121951219512195
83,6889,0.0120481927710843
84,7056,0.0119047619047619
85,7225,0.0117647058823529
86,7396,0.0116279069767442
87,7569,0.0114942528735632
88,7744,0.0113636363636364
89,7921,0.0112359550561798
90,8100,0.0111111111111111
91,8281,0.010989010989011
92,8464,0.0108695652173913
93,8649,0.010752688172043
94,8836,0.0106382978723404
95,9025,0.0105263157894737
96,9216,0.0104166666666667
97,9409,0.0103092783505155
98,9604,0.0102040816326531
99,9801,0.0101010101010101
100,10000,0.01
101,10201,0.0099009900990099
102,10404,0.00980392156862745
103,10609,0.00970873786407767
104,10816,0.00961538461538462
105,11025,0.00952380952380952
106,11236,0.00943396226415094
107,11449,0.00934579439252336
108,11664,0.00925925925925926
109,11881,0.00917431192660551
110,12100,0.00909090909090909
111,12321,0.00900900900900901
112,12544,0.00892857142857143
113,12769,0.00884955752212389
114,12996,0.0087719298245614
115,13225,0.00869565217391304
116,13456,0.00862068965517241
117,13689,0.00854700854700855
118,13924,0.00847457627118644
119,14161,0.00840336134453781
120,14400,0.00833333333333333
121,14641,0.00826446280991736
122,14884,0.00819672131147541
123,15129,0.00813008130081301
124,15376,0.00806451612903226
125,15625,0.008
126,15876,0.00793650793650794
127,16129,0.0078740157480315
128,16384,0.0078125
129,16641,0.00775193798449612
130,16900,0.00769230769230769
131,17161,0.00763358778625954
132,17424,0.00757575757575758
133,17689,0.0075187969924812
134,17956,0.00746268656716418
135,18225,0.00740740740740741
136,18496,0.00735294117647059
137,18769,0.0072992700729927
138,19044,0.0072463768115942
139,19321,0.00719424460431655
140,19600,0.00714285714285714
141,19881,0.00709219858156028
142,20164,0.00704225352112676
143,20449,0.00699300699300699
144,20736,0.00694444444444444
145,21025,0.00689655172413793
146,21316,0.00684931506849315
147,21609,0.00680272108843537
148,21904,0.00675675675675676
149,22201,0.00671140939597315
150,22500,0.00666666666666667
151,22801,0.00662251655629139
152,23104,0.00657894736842105
153,23409,0.0065359477124183
154,23716,0.00649350649350649
155,24025,0.00645161290322581
156,24336,0.00641025641025641
157,24649,0.00636942675159236
158,24964,0.00632911392405063
159,25281,0.00628930817610063
160,25600,0.00625
161,25921,0.0062111801242236
162,26244,0.00617283950617284
163,26569,0.00613496932515337
164,26896,0.00609756097560976
165,27225,0.00606060606060606
166,27556,0.00602409638554217
167,27889,0.00598802395209581
168,28224,0.00595238095238095
169,28561,0.00591715976331361
170,28900,0.00588235294117647
171,29241,0.00584795321637427
172,29584,0.00581395348837209
