Cabeçalho ==========
Este cabeçalho deve ser removido
Você deve fazer um tratamento de strings
Nós armazenaremos tudo que estiver depois de testes

TESTE
ID,A,B
151,22801,0.00662251655629139
152,23104,0.00657894736842105
153,23409,0.0065359477124183
154,23716,0.00649350649350649
155,24025,0.00645161290322581
156,24336,0.00641025641025641
157,24649,0.00636942675159236
158,24964,0.00632911392405063
159,25281,0.00628930817610063
160,25600,0.00625
161,25921,0.0062111801242236
162,26244,0.00617283950617284
163,26569,0.00613496932515337
164,26896,0.00609756097560976
165,27225,0.00606060606060606
166,27556,0.00602409638554217
167,27889,0.00598802395209581
168,28224,0.00595238095238095
169,28561,0.00591715976331361
170,28900,0.00588235294117647
171,29241,0.00584795321637427
172,29584,0.00581395348837209
173,29929,0.00578034682080925
174,30276,0.00574712643678161
175,30625,0.00571428571428571
176,30976,0.00568181818181818
177,31329,0.00564971751412429
178,31684,0.00561797752808989
179,32041,0.00558659217877095
180,32400,0.00555555555555556
181,32761,0.00552486187845304
182,33124,0.00549450549450549
183,33489,0.00546448087431694
184,33856,0.00543478260869565
185,34225,0.00540540540540541
186,34596,0.00537634408602151
187,34969,0.0053475935828877
188,35344,0.00531914893617021
189,35721,0.00529100529100529
190,36100,0.00526315789473684
191,36481,0.00523560209424084
192,36864,0.00520833333333333
193,37249,0.00518134715025907
194,37636,0.00515463917525773
195,38025,0.00512820512820513
196,38416,0.00510204081632653
197,38809,0.0050761421319797
198,39204,0.00505050505050505
199,39601,0.0050251256281407
200,40000,0.005
