GRID,1,0,-57.73,57.15,58.31
GRID,2,0,-61.61,61.12,49.68
GRID,3,0,-64.84,64.44,40.53
GRID,4,0,-67.39,67.08,30.96
GRID,5,0,-69.23,69.02,21.06
GRID,6,0,-70.34,70.23,10.94
GRID,7,0,-70.71,70.71,0.7
GRID,8,0,-70.34,70.44,-9.53
GRID,9,0,-69.23,69.43,-19.68
GRID,10,0,-67.39,67.69,-29.61
GRID,11,0,-64.84,65.24,-39.24
GRID,12,0,-61.61,62.1,-48.45
GRID,13,0,-57.73,58.31,-57.15
GRID,14,0,-61.61,49.68,-61.12
GRID,15,0,-64.84,40.53,-64.44
GRID,16,0,-67.39,30.96,-67.08
GRID,17,0,-69.23,21.06,-69.02
GRID,18,0,-70.34,10.94,-70.23
GRID,19,0,-70.71,0.7,-70.71
GRID,20,0,-70.34,-9.53,-70.44
GRID,21,0,-69.23,-19.68,-69.43
GRID,22,0,-67.39,-29.61,-67.69
GRID,23,0,-64.84,-39.24,-65.24
GRID,24,0,-61.61,-48.45,-62.1
GRID,25,0,-57.73,-57.15,-58.31
GRID,26,0,-61.61,-61.12,-49.68
GRID,27,0,-64.84,-64.44,-40.53
GRID,28,0,-67.39,-67.08,-30.96
GRID,29,0,-69.23,-69.02,-21.06
GRID,30,0,-70.34,-70.23,-10.94
GRID,31,0,-70.71,-70.71,-0.7
GRID,32,0,-70.34,-70.44,9.53
GRID,33,0,-69.23,-69.43,19.68
GRID,34,0,-67.39,-67.69,29.61
GRID,35,0,-64.84,-65.24,39.24
GRID,36,0,-61.61,-62.1,48.45
GRID,37,0,-57.73,-58.31,57.15
GRID,38,0,-61.61,-49.68,61.12
GRID,39,0,-64.84,-40.53,64.44
GRID,40,0,-67.39,-30.96,67.08
GRID,41,0,-69.23,-21.06,69.02
GRID,42,0,-70.34,-10.94,70.23
GRID,43,0,-70.71,-0.7,70.71
GRID,44,0,-70.34,9.53,70.44
GRID,45,0,-69.23,19.68,69.43
GRID,46,0,-67.39,29.61,67.69
GRID,47,0,-64.84,39.24,65.24
GRID,48,0,-61.61,48.45,62.1
GRID,49,0,-66.55,52,53.53
GRID,50,0,-70.87,55.02,44.15
GRID,51,0,-74.43,57.46,34.03
GRID,52,0,-77.11,59.26,23.28
GRID,53,0,-78.77,60.41,12.07
GRID,54,0,-79.33,60.87,0.6
GRID,55,0,-78.77,60.64,-10.86
GRID,56,0,-77.11,59.72,-22.09
GRID,57,0,-74.43,58.12,-32.87
GRID,58,0,-70.87,55.89,-43.04
GRID,59,0,-66.55,53.06,-52.48
GRID,60,0,-70.69,42.26,56.72
GRID,61,0,-75.92,44.85,47.16
GRID,62,0,-80.35,46.96,36.58
GRID,63,0,-83.73,48.55,25.12
GRID,64,0,-85.87,49.57,12.99
GRID,65,0,-86.6,50,0.5
GRID,66,0,-85.87,49.82,-12
GRID,67,0,-83.73,49.04,-24.15
